participant_id,condition,task_order,started_at,consented_at,consent_version,user_agent
66873045-b90c-44b5-b617-c11841ef0066,show,"4,5,3,6,1,2",2026-04-24T00:12:09+00:00,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
6ec092b8-47af-422a-a02b-27f972cb8a46,try,"3,5,1,6,4,2",2026-04-24T00:12:50+00:00,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,"2,1,4,5,6,3",2026-04-27T19:03:53+00:00,2026-04-27T19:03:53+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
a3922085-d52c-4e7e-9d7c-7d1a22a5eeec,tell,"6,2,1,3,5,4",2026-04-27T19:26:04+00:00,2026-04-27T19:26:04+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
443b493a-be81-4f95-b5ab-5e3744d2c875,show,"2,3,6,4,5,1",2026-04-27T19:33:47+00:00,2026-04-27T19:33:47+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
8577d0fe-36a6-481e-89ca-e644257d92d4,try,"5,6,3,4,2,1",2026-04-27T20:03:52+00:00,2026-04-27T20:03:52+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
56eb9ba4-17e4-47ad-87f7-fa6e846f3945,show,"2,3,4,5,6,1",2026-04-27T20:31:31+00:00,2026-04-27T20:31:31+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
66ee09ce-b61a-41d7-82e8-0d67adc7406d,tell,"1,4,5,3,2,6",2026-04-27T20:37:42+00:00,2026-04-27T20:37:42+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
a9e17cb8-17ba-402a-bef9-e527cd9be46b,try,"4,2,3,6,1,5",2026-04-27T20:42:56+00:00,2026-04-27T20:42:56+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
e7018d94-b641-4b44-beb8-b442d7142007,tell,"2,1,5,3,4,6",2026-04-27T20:55:22+00:00,2026-04-27T20:55:22+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
f1fe5140-cae3-4340-b9ce-8f61e39b739d,try,"3,4,2,1,6,5",2026-04-27T20:56:20+00:00,2026-04-27T20:56:20+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
fef35e6a-7b9a-457c-9a34-3d7270ab4c68,show,"2,1,5,3,6,4",2026-04-27T21:03:31+00:00,2026-04-27T21:03:31+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
c66983ef-2da2-4d89-90f7-f3bc8a8e436c,show,"1,4,5,6,3,2",2026-04-27T22:38:50+00:00,2026-04-27T22:38:50+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
6747a659-4ac4-4fdb-8402-7e415f7faed3,try,"3,2,5,6,4,1",2026-04-27T22:44:15+00:00,2026-04-27T22:44:15+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
27ba72cb-0c90-4741-9dee-3c91918c289f,tell,"6,3,4,2,1,5",2026-04-27T22:48:26+00:00,2026-04-27T22:48:26+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
0768ff3f-5837-4fc0-a851-e06de90306ad,show,"3,4,2,6,5,1",2026-04-27T22:53:22+00:00,2026-04-27T22:53:22+00:00,v1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
