response_id,participant_id,condition,trial_index,task_id,selected_option,correct_answer,is_correct,ai_recommendation,ai_is_correct,user_thinks_ai_correct,error_detection_correct,confidence_rating,client_decision_ms,server_decision_ms,shown_at,submitted_at,user_agent
b231a4b9-4475-41ce-98b2-3cbdec42ebdb,1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,1,2,B,B,True,A,False,no,True,7,21903,21965,2026-04-27T19:03:53+00:00,2026-04-27T19:04:15+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
3e2ff6d4-4edd-40b9-a8c9-b21e0e21ae8b,1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,2,1,A,A,True,A,True,yes,True,6,18464,18528,2026-04-27T19:04:15+00:00,2026-04-27T19:04:34+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
cc0d3273-1640-459c-aa22-737e8417623a,1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,3,4,B,B,True,A,False,no,True,3,31238,31281,2026-04-27T19:04:34+00:00,2026-04-27T19:05:05+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
e98c449e-82e5-4b1a-afc5-04e9e7d71f4b,1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,4,5,B,B,True,B,True,yes,True,4,32839,32886,2026-04-27T19:05:05+00:00,2026-04-27T19:05:38+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
73f71083-46e7-46d0-8b25-b9f0eb1c93b7,1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,5,6,A,A,True,B,False,no,True,6,23208,23250,2026-04-27T19:05:38+00:00,2026-04-27T19:06:01+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
4cc3621c-b9e0-495e-85fe-24eb0168b789,1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,6,3,B,B,True,B,True,yes,True,5,18311,18356,2026-04-27T19:06:01+00:00,2026-04-27T19:06:20+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
b6e8a716-54a9-4968-8871-1671e5503111,a3922085-d52c-4e7e-9d7c-7d1a22a5eeec,tell,1,6,A,A,True,B,False,no,True,4,42377,42433,2026-04-27T19:26:04+00:00,2026-04-27T19:26:46+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
2c5a258f-58a5-4987-8397-d752ff0e2c2d,a3922085-d52c-4e7e-9d7c-7d1a22a5eeec,tell,2,2,B,B,True,A,False,no,True,7,18481,18535,2026-04-27T19:26:46+00:00,2026-04-27T19:27:05+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
8461f96c-a6a5-4996-950d-d1e9b15d07f9,a3922085-d52c-4e7e-9d7c-7d1a22a5eeec,tell,3,1,A,A,True,A,True,yes,True,6,21306,21362,2026-04-27T19:27:05+00:00,2026-04-27T19:27:26+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
c421f14d-ec06-477f-b615-0a2a673e390e,a3922085-d52c-4e7e-9d7c-7d1a22a5eeec,tell,4,3,B,B,True,B,True,yes,True,4,24790,24844,2026-04-27T19:27:26+00:00,2026-04-27T19:27:51+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
