survey_id,participant_id,condition,perceived_understanding,trust,mental_demand,effort,frustration,engagement,feedback,submitted_at,user_agent
742173a3-5c76-45a3-952b-2c41ae15d1a8,1777b8f1-a32c-4dbb-82fa-27db288e3ed2,tell,5,4,3,3,2,3,,2026-04-27T19:06:39+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
0e8a99ed-9fc5-4243-b225-0e9b39996eac,a3922085-d52c-4e7e-9d7c-7d1a22a5eeec,tell,2,2,3,1,1,5,,2026-04-27T19:30:43+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
681c2f9a-dad2-4881-8693-0e5175747709,443b493a-be81-4f95-b5ab-5e3744d2c875,show,7,5,2,1,1,5,,2026-04-27T19:36:55+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
27099c76-a2a0-43c8-a43d-76e6c6c11f25,8577d0fe-36a6-481e-89ca-e644257d92d4,try,5,5,6,3,1,7,Crystal is very helpful!,2026-04-27T20:12:46+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
24d992d5-6028-4547-a3f3-089a81cb3feb,56eb9ba4-17e4-47ad-87f7-fa6e846f3945,show,6,5,5,1,1,7,,2026-04-27T20:37:37+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
62d6ee09-d9f1-429b-bf7b-903f3c4cb9f7,66ee09ce-b61a-41d7-82e8-0d67adc7406d,tell,7,5,5,1,1,2,,2026-04-27T20:42:51+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
b4bfdfd4-b5c8-4f97-ac0e-f109ea8d659b,a9e17cb8-17ba-402a-bef9-e527cd9be46b,try,2,5,6,5,3,7,,2026-04-27T20:49:21+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
49c97692-98e0-4b98-8e31-82b10a6adeaa,fef35e6a-7b9a-457c-9a34-3d7270ab4c68,show,3,3,1,1,1,5,,2026-04-27T21:33:00+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
7cd952eb-2e43-4bac-91e0-a969cceeb5c5,c66983ef-2da2-4d89-90f7-f3bc8a8e436c,show,7,5,2,2,1,2,Awesome!,2026-04-27T22:44:10+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
4714bced-8254-4444-98e0-93038d7ba602,6747a659-4ac4-4fdb-8402-7e415f7faed3,try,7,5,2,2,1,2,,2026-04-27T22:48:20+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
175a5db2-c044-4cca-bdd8-ca992a5319df,27ba72cb-0c90-4741-9dee-3c91918c289f,tell,7,5,3,2,1,1,,2026-04-27T22:51:30+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
19e9250d-be84-4408-b78e-ea02fbd6fc8a,0768ff3f-5837-4fc0-a851-e06de90306ad,show,6,4,5,3,2,5,,2026-04-27T23:00:36+00:00,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
